date,cases,re,vaccinated,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,regimes
2021-09-03,865,0.97,10006367,-4,10,135,-42,-40,8,1
2021-09-04,650,0.98,10031003,-4,9,206,-24,-9,-1,1
2021-09-05,616,0.97,10049092,10,13,202,-28,-10,-2,1
2021-09-06,518,0.97,10060774,-26,-30,197,-58,-81,18,1
2021-09-07,674,0.98,10068507,-4,20,73,-47,-41,9,1
2021-09-08,853,0.99,10089234,-4,17,80,-46,-40,10,1
2021-09-09,838,1.0,10109582,-6,14,88,-44,-39,10,1
2021-09-10,844,1.02,10128949,-7,6,114,-42,-36,7,1
2021-09-11,711,1.01,10152637,-3,8,174,-29,-2,1,1
2021-09-12,584,1.0,10170086,1,6,114,-34,-4,1,1
2021-09-13,512,0.98,10179312,-5,8,101,-45,-40,9,1
2021-09-14,828,0.99,10195431,-8,9,75,-46,-39,9,1
2021-09-15,766,0.99,10215951,-6,10,82,-45,-39,9,1
2021-09-16,830,0.97,10236143,-5,12,107,-43,-39,9,1
2021-09-17,758,0.93,10256563,-6,3,110,-41,-37,7,1
2021-09-18,637,0.93,10280570,-1,6,177,-27,-3,0,1
2021-09-19,540,0.91,10299445,6,6,164,-31,-5,-1,1
2021-09-20,596,0.9,10309713,3,10,126,-44,-39,8,1
2021-09-21,610,0.92,10327192,-9,7,49,-48,-37,10,1
2021-09-22,729,0.92,10351311,-14,-2,-9,-52,-35,12,1
2021-09-23,660,0.95,10378380,-9,9,42,-46,-33,11,1
2021-09-24,656,0.95,10406874,-9,4,77,-43,-32,9,1
2021-09-25,608,0.95,10437551,-5,5,102,-32,-2,2,1
2021-09-26,440,0.97,10461784,2,5,127,-32,-3,1,1
2021-09-27,485,0.97,10474837,-8,5,77,-47,-34,10,1
2021-09-28,590,0.95,10493722,-7,10,74,-46,-32,9,1
2021-09-29,648,0.95,10517103,-3,10,75,-44,-33,9,1
2021-09-30,648,0.96,10540179,-1,13,86,-42,-35,9,1
